"","X1","X2","region","hemi","roi","side"
"67",267.158504955621,125.859018421116,"7Networks_LH_Vis_27","left","0028","lateral"
"68",286.696769156111,96.5392047494526,"7Networks_LH_Vis_27","left","0028","lateral"
"69",280.419003434829,111.635199327013,"7Networks_LH_Vis_27","left","0028","lateral"
"70",264.999017507633,132.595587811851,"7Networks_LH_Vis_27","left","0028","lateral"
"71",261.660177615701,131.250546750458,"7Networks_LH_Vis_28","left","0029","lateral"
"72",261.666827277461,131.241524271977,"7Networks_LH_Vis_28","left","0029","lateral"
"73",261.675470846492,131.251454527365,"7Networks_LH_Vis_28","left","0029","lateral"
"74",261.668682597862,131.258625769728,"7Networks_LH_Vis_28","left","0029","lateral"
"75",261.660177615701,131.250546750458,"7Networks_LH_Vis_28","left","0029","lateral"
"76",263.075787921039,129.616792740183,"7Networks_LH_Vis_28","left","0029","lateral"
"77",271.284814113626,112.840722124265,"7Networks_LH_Vis_28","left","0029","lateral"
"78",275.513726220659,111.064903343323,"7Networks_LH_Vis_28","left","0029","lateral"
"79",272.58120017977,119.030065489572,"7Networks_LH_Vis_28","left","0029","lateral"
"80",263.075787921039,129.616792740183,"7Networks_LH_Vis_28","left","0029","lateral"
"81",266.560177615701,131.250546750458,"7Networks_LH_Vis_29","left","0030","lateral"
"82",266.566827277461,131.241524271977,"7Networks_LH_Vis_29","left","0030","lateral"
"83",266.575470846492,131.251454527365,"7Networks_LH_Vis_29","left","0030","lateral"
"84",266.568682597862,131.258625769728,"7Networks_LH_Vis_29","left","0030","lateral"
"85",266.560177615701,131.250546750458,"7Networks_LH_Vis_29","left","0030","lateral"
"86",246.336155880482,159.119593882227,"7Networks_LH_Vis_31","left","0032","lateral"
"87",251.022188184437,150.496411105993,"7Networks_LH_Vis_31","left","0032","lateral"
"88",263.333173381247,134.650467823081,"7Networks_LH_Vis_31","left","0032","lateral"
"89",260.887158829119,139.98361308536,"7Networks_LH_Vis_31","left","0032","lateral"
"90",246.336155880482,159.119593882227,"7Networks_LH_Vis_31","left","0032","lateral"
"91",145.153935862592,80.0624163136288,"7Networks_LH_SomMot_1","left","0033","lateral"
"92",132.469293803422,77.1169406183821,"7Networks_LH_SomMot_1","left","0033","lateral"
"93",116.911781626255,50.37633274188,"7Networks_LH_SomMot_1","left","0033","lateral"
"94",129.175581223982,50.1456877685443,"7Networks_LH_SomMot_1","left","0033","lateral"
"95",137.38942622825,55.9186256498853,"7Networks_LH_SomMot_1","left","0033","lateral"
"96",145.153935862592,80.0624163136288,"7Networks_LH_SomMot_1","left","0033","lateral"
"97",176.851860760686,94.3976579783693,"7Networks_LH_SomMot_2","left","0034","lateral"
"98",154.09137631907,87.8065075109835,"7Networks_LH_SomMot_2","left","0034","lateral"
"99",143.578878407186,73.2722970707362,"7Networks_LH_SomMot_2","left","0034","lateral"
"100",141.72383027294,62.459291010108,"7Networks_LH_SomMot_2","left","0034","lateral"
"101",162.728809448953,68.5274433219298,"7Networks_LH_SomMot_2","left","0034","lateral"
"102",180.936894675976,81.4623516401066,"7Networks_LH_SomMot_2","left","0034","lateral"
"103",181.930352838512,87.2935638051148,"7Networks_LH_SomMot_2","left","0034","lateral"
"104",176.851860760686,94.3976579783693,"7Networks_LH_SomMot_2","left","0034","lateral"
"105",146.092396795366,92.8171627944787,"7Networks_LH_SomMot_3","left","0035","lateral"
"106",131.559501462655,90.4383035381038,"7Networks_LH_SomMot_3","left","0035","lateral"
"107",124.088593111646,82.3956652581194,"7Networks_LH_SomMot_3","left","0035","lateral"
"108",132.703482136281,77.8675757062049,"7Networks_LH_SomMot_3","left","0035","lateral"
"109",147.444929226747,80.5721618829762,"7Networks_LH_SomMot_3","left","0035","lateral"
"110",155.379944138342,89.5593252800397,"7Networks_LH_SomMot_3","left","0035","lateral"
"111",146.092396795366,92.8171627944787,"7Networks_LH_SomMot_3","left","0035","lateral"
"112",133.849555210792,95.8576579630549,"7Networks_LH_SomMot_4","left","0036","lateral"
"113",104.224115399709,91.3494834388262,"7Networks_LH_SomMot_4","left","0036","lateral"
"114",106.465802886312,80.0511800846129,"7Networks_LH_SomMot_4","left","0036","lateral"
"115",100.972736894731,71.144257404651,"7Networks_LH_SomMot_4","left","0036","lateral"
"116",109.769725696347,71.1198396396252,"7Networks_LH_SomMot_4","left","0036","lateral"
"117",138.502269209303,95.5770346945848,"7Networks_LH_SomMot_4","left","0036","lateral"
"118",133.849555210792,95.8576579630549,"7Networks_LH_SomMot_4","left","0036","lateral"
"119",164.130054427777,106.499229889725,"7Networks_LH_SomMot_5","left","0037","lateral"
"120",143.944284370379,102.438703047372,"7Networks_LH_SomMot_5","left","0037","lateral"
"121",133.854714953864,91.618969069475,"7Networks_LH_SomMot_5","left","0037","lateral"
"122",156.470692358146,92.3749166865753,"7Networks_LH_SomMot_5","left","0037","lateral"
"123",167.015648278296,105.843695879785,"7Networks_LH_SomMot_5","left","0037","lateral"
"124",164.130054427777,106.499229889725,"7Networks_LH_SomMot_5","left","0037","lateral"
"125",189.473413571047,109.214502620316,"7Networks_LH_SomMot_6","left","0038","lateral"
"126",181.678915585842,105.010612842484,"7Networks_LH_SomMot_6","left","0038","lateral"
"127",177.545811137689,95.2024874554423,"7Networks_LH_SomMot_6","left","0038","lateral"
